,wavelength (nm),C,R,G,B
88,740,12.3447815616018,12.5154648333324,3.98420007043684,2.79217310896456
89,745,12.63409971865,12.7965303649327,4.54595159621493,2.85738897783012
90,750,13.0656275092898,13.2442665141108,5.19929877414945,2.96416422033507
91,755,13.6242828739526,13.8295007050378,5.89125421181032,3.14610018038231
92,760,14.2031726173729,14.4449936265227,6.5452296295861,3.43845124255635
93,765,14.4893974047826,14.7575395244702,6.94368558685228,3.81031030449393
94,770,14.3326748875307,14.6078187604174,7.02651014863625,4.2367451837603
95,775,13.8174939827596,14.0783666851074,6.85428299882678,4.73368725976276
96,780,13.2247226810238,13.451778769805,6.65166608531601,5.42020136396547
97,785,12.8084345730757,13.0065450653176,6.6090927616624,6.38740715421457
98,790,12.6883396584716,12.8557252814516,6.85898104824704,7.67036328239788
99,795,12.8793030933437,13.0234671662312,7.39640962518228,9.11960297344965
100,800,13.3157051939599,13.4472222117774,8.20533769085975,10.5909599675334
101,805,13.9148479703878,14.0367983352751,9.21694493775463,11.9797853870934
102,810,14.64732216616,14.7696894869703,10.3755705374161,13.2594505183007
103,815,15.4745397185575,15.6000731700463,11.6353596364519,14.4655840739878
104,820,16.2476426768654,16.3967834007932,12.8485598688905,15.5075818580594
105,825,16.6765845183655,16.8466372311187,13.7403868859564,16.1246345419106
106,830,16.4789101739747,16.646394323975,14.0307674625728,16.035984455917
107,835,15.7190555208093,15.8753095363986,13.7597893994019,15.337869921762
108,840,14.7551394908684,14.8980751245639,13.2444731057434,14.4248954209551
109,845,13.9495893963162,14.0836305613339,12.8118871614943,13.6726557197675
110,850,13.4758000380676,13.6091414858991,12.6250162414198,13.2485820791786
111,855,13.2314954727729,13.3635759744115,12.5952581689315,13.0484888114475
112,860,13.0918579395364,13.223375374951,12.6214311367316,12.9330669826576
113,865,12.9855126609673,13.1171483184596,12.6413734716906,12.8503977751366
114,870,12.883933696239,13.0085178472754,12.643722764058,12.7683188010222
